 x	DSM	TSM	
0.0451	0.999846	0.00015427	
0.0452	0.999846	0.000154411	
0.0453	0.999845	0.000154553	
0.0454	0.999845	0.000154696	
0.0455	0.999845	0.000154838	
0.0456	0.999845	0.00015498	
0.0457	0.999845	0.000155123	
0.0458	0.999845	0.000155265	
0.0459	0.999845	0.000155408	
0.046	0.999844	0.000155551	
0.0461	0.999844	0.000155694	
0.0462	0.999844	0.000155837	
0.0463	0.999844	0.00015598	
0.0464	0.999844	0.000156124	
0.0465	0.999844	0.000156267	
0.0466	0.999844	0.000156411	
0.0467	0.999843	0.000156555	
0.0468	0.999843	0.000156699	
0.0469	0.999843	0.000156843	
0.047	0.999843	0.000156987	
0.0471	0.999843	0.000157131	
0.0472	0.999843	0.000157276	
0.0473	0.999843	0.00015742	
0.0474	0.999842	0.000157565	
0.0475	0.999842	0.00015771	
0.0476	0.999842	0.000157855	
0.0477	0.999842	0.000158	
0.0478	0.999842	0.000158145	
0.0479	0.999842	0.000158291	
0.048	0.999842	0.000158436	
0.0481	0.999841	0.000158582	
0.0482	0.999841	0.000158728	
0.0483	0.999841	0.000158874	
0.0484	0.999841	0.00015902	
0.0485	0.999841	0.000159166	
0.0486	0.999841	0.000159312	
0.0487	0.999841	0.000159459	
0.0488	0.99984	0.000159605	
0.0489	0.99984	0.000159752	
0.049	0.99984	0.000159899	
0.0491	0.99984	0.000160046	
0.0492	0.99984	0.000160193	
0.0493	0.99984	0.00016034	
0.0494	0.99984	0.000160488	
0.0495	0.999839	0.000160635	
0.0496	0.999839	0.000160783	
0.0497	0.999839	0.000160931	
0.0498	0.999839	0.000161079	
0.0499	0.999839	0.000161227	
0.05	0.999839	0.000161375	
0.0501	0.999838	0.000161523	
0.0502	0.999838	0.000161672	
0.0503	0.999838	0.000161821	
0.0504	0.999838	0.000161969	
0.0505	0.999838	0.000162118	
0.0506	0.999838	0.000162267	
0.0507	0.999838	0.000162417	
0.0508	0.999837	0.000162566	
0.0509	0.999837	0.000162715	
0.051	0.999837	0.000162865	
0.0511	0.999837	0.000163015	
0.0512	0.999837	0.000163165	
0.0513	0.999837	0.000163315	
0.0514	0.999837	0.000163465	
0.0515	0.999836	0.000163615	
0.0516	0.999836	0.000163765	
0.0517	0.999836	0.000163916	
0.0518	0.999836	0.000164067	
0.0519	0.999836	0.000164218	
0.052	0.999836	0.000164369	
0.0521	0.999835	0.00016452	
0.0522	0.999835	0.000164671	
0.0523	0.999835	0.000164822	
0.0524	0.999835	0.000164974	
0.0525	0.999835	0.000165125	
0.0526	0.999835	0.000165277	
0.0527	0.999835	0.000165429	
0.0528	0.999834	0.000165581	
0.0529	0.999834	0.000165734	
0.053	0.999834	0.000165886	
0.0531	0.999834	0.000166038	
0.0532	0.999834	0.000166191	
0.0533	0.999834	0.000166344	
0.0534	0.999834	0.000166497	
0.0535	0.999833	0.00016665	
0.0536	0.999833	0.000166803	
0.0537	0.999833	0.000166956	
0.0538	0.999833	0.00016711	
0.0539	0.999833	0.000167264	
0.054	0.999833	0.000167417	
0.0541	0.999832	0.000167571	
0.0542	0.999832	0.000167725	
0.0543	0.999832	0.00016788	
0.0544	0.999832	0.000168034	
0.0545	0.999832	0.000168188	
0.0546	0.999832	0.000168343	
0.0547	0.999832	0.000168498	
0.0548	0.999831	0.000168653	
0.0549	0.999831	0.000168808	
0.055	0.999831	0.000168963	
0.0551	0.999831	0.000169118	
0.0552	0.999831	0.000169274	
0.0553	0.999831	0.000169429	
0.0554	0.99983	0.000169585	
0.0555	0.99983	0.000169741	
0.0556	0.99983	0.000169897	
0.0557	0.99983	0.000170053	
0.0558	0.99983	0.00017021	
0.0559	0.99983	0.000170366	
0.056	0.999829	0.000170523	
0.0561	0.999829	0.00017068	
0.0562	0.999829	0.000170837	
0.0563	0.999829	0.000170994	
0.0564	0.999829	0.000171151	
0.0565	0.999829	0.000171308	
0.0566	0.999829	0.000171466	
0.0567	0.999828	0.000171623	
0.0568	0.999828	0.000171781	
0.0569	0.999828	0.000171939	
0.057	0.999828	0.000172097	
0.0571	0.999828	0.000172255	
0.0572	0.999828	0.000172414	
0.0573	0.999827	0.000172572	
0.0574	0.999827	0.000172731	
0.0575	0.999827	0.00017289	
0.0576	0.999827	0.000173049	
0.0577	0.999827	0.000173208	
0.0578	0.999827	0.000173367	
0.0579	0.999826	0.000173526	
0.058	0.999826	0.000173686	
0.0581	0.999826	0.000173846	
0.0582	0.999826	0.000174005	
0.0583	0.999826	0.000174165	
0.0584	0.999826	0.000174326	
0.0585	0.999826	0.000174486	
0.0586	0.999825	0.000174646	
0.0587	0.999825	0.000174807	
0.0588	0.999825	0.000174968	
0.0589	0.999825	0.000175128	
0.059	0.999825	0.000175289	
0.0591	0.999825	0.000175451	
0.0592	0.999824	0.000175612	
0.0593	0.999824	0.000175773	
0.0594	0.999824	0.000175935	
0.0595	0.999824	0.000176097	
0.0596	0.999824	0.000176259	
0.0597	0.999824	0.000176421	
0.0598	0.999823	0.000176583	
0.0599	0.999823	0.000176745	
0.06	0.999823	0.000176908	
0.0601	0.999823	0.00017707	
0.0602	0.999823	0.000177233	
0.0603	0.999823	0.000177396	
0.0604	0.999822	0.000177559	
0.0605	0.999822	0.000177722	
0.0606	0.999822	0.000177886	
0.0607	0.999822	0.000178049	
0.0608	0.999822	0.000178213	
0.0609	0.999822	0.000178377	
0.061	0.999821	0.000178541	
0.0611	0.999821	0.000178705	
0.0612	0.999821	0.000178869	
0.0613	0.999821	0.000179034	
0.0614	0.999821	0.000179198	
0.0615	0.999821	0.000179363	
0.0616	0.99982	0.000179528	
0.0617	0.99982	0.000179693	
0.0618	0.99982	0.000179858	
0.0619	0.99982	0.000180024	
0.062	0.99982	0.000180189	
0.0621	0.99982	0.000180355	
0.0622	0.999819	0.000180521	
0.0623	0.999819	0.000180687	
0.0624	0.999819	0.000180853	
0.0625	0.999819	0.000181019	
0.0626	0.999819	0.000181185	
0.0627	0.999819	0.000181352	
0.0628	0.999818	0.000181519	
0.0629	0.999818	0.000181686	
0.063	0.999818	0.000181853	
0.0631	0.999818	0.00018202	
0.0632	0.999818	0.000182187	
0.0633	0.999818	0.000182355	
0.0634	0.999817	0.000182522	
0.0635	0.999817	0.00018269	
0.0636	0.999817	0.000182858	
0.0637	0.999817	0.000183026	
0.0638	0.999817	0.000183194	
0.0639	0.999817	0.000183363	
0.064	0.999816	0.000183531	
0.0641	0.999816	0.0001837	
0.0642	0.999816	0.000183869	
0.0643	0.999816	0.000184038	
0.0644	0.999816	0.000184207	
0.0645	0.999816	0.000184377	
0.0646	0.999815	0.000184546	
0.0647	0.999815	0.000184716	
0.0648	0.999815	0.000184886	
0.0649	0.999815	0.000185056	
0.065	0.999815	0.000185226	
0.0651	0.999815	0.000185396	
0.0652	0.999814	0.000185566	
0.0653	0.999814	0.000185737	
0.0654	0.999814	0.000185908	
0.0655	0.999814	0.000186079	
0.0656	0.999814	0.00018625	
0.0657	0.999814	0.000186421	
0.0658	0.999813	0.000186592	
0.0659	0.999813	0.000186764	
0.066	0.999813	0.000186936	
0.0661	0.999813	0.000187108	
0.0662	0.999813	0.00018728	
0.0663	0.999813	0.000187452	
0.0664	0.999812	0.000187624	
0.0665	0.999812	0.000187797	
0.0666	0.999812	0.000187969	
0.0667	0.999812	0.000188142	
0.0668	0.999812	0.000188315	
0.0669	0.999812	0.000188488	
0.067	0.999811	0.000188661	
0.0671	0.999811	0.000188835	
0.0672	0.999811	0.000189009	
0.0673	0.999811	0.000189182	
0.0674	0.999811	0.000189356	
0.0675	0.99981	0.00018953	
0.0676	0.99981	0.000189705	
0.0677	0.99981	0.000189879	
0.0678	0.99981	0.000190054	
0.0679	0.99981	0.000190228	
0.068	0.99981	0.000190403	
0.0681	0.999809	0.000190578	
0.0682	0.999809	0.000190753	
0.0683	0.999809	0.000190929	
0.0684	0.999809	0.000191104	
0.0685	0.999809	0.00019128	
0.0686	0.999809	0.000191456	
0.0687	0.999808	0.000191632	
0.0688	0.999808	0.000191808	
0.0689	0.999808	0.000191984	
0.069	0.999808	0.000192161	
0.0691	0.999808	0.000192338	
0.0692	0.999807	0.000192514	
0.0693	0.999807	0.000192691	
0.0694	0.999807	0.000192869	
0.0695	0.999807	0.000193046	
0.0696	0.999807	0.000193223	
0.0697	0.999807	0.000193401	
0.0698	0.999806	0.000193579	
0.0699	0.999806	0.000193757	
0.07	0.999806	0.000193935	
0.0701	0.999806	0.000194113	
0.0702	0.999806	0.000194292	
0.0703	0.999806	0.00019447	
0.0704	0.999805	0.000194649	
0.0705	0.999805	0.000194828	
0.0706	0.999805	0.000195007	
0.0707	0.999805	0.000195186	
0.0708	0.999805	0.000195366	
0.0709	0.999804	0.000195545	
0.071	0.999804	0.000195725	
0.0711	0.999804	0.000195905	
0.0712	0.999804	0.000196085	
0.0713	0.999804	0.000196266	
0.0714	0.999804	0.000196446	
0.0715	0.999803	0.000196627	
0.0716	0.999803	0.000196807	
0.0717	0.999803	0.000196988	
0.0718	0.999803	0.000197169	
0.0719	0.999803	0.000197351	
0.072	0.999802	0.000197532	
0.0721	0.999802	0.000197714	
0.0722	0.999802	0.000197895	
0.0723	0.999802	0.000198077	
0.0724	0.999802	0.00019826	
0.0725	0.999802	0.000198442	
0.0726	0.999801	0.000198624	
0.0727	0.999801	0.000198807	
0.0728	0.999801	0.00019899	
0.0729	0.999801	0.000199173	
0.073	0.999801	0.000199356	
0.0731	0.9998	0.000199539	
0.0732	0.9998	0.000199722	
0.0733	0.9998	0.000199906	
0.0734	0.9998	0.00020009	
0.0735	0.9998	0.000200274	
0.0736	0.9998	0.000200458	
0.0737	0.999799	0.000200642	
0.0738	0.999799	0.000200827	
0.0739	0.999799	0.000201011	
0.074	0.999799	0.000201196	
0.0741	0.999799	0.000201381	
0.0742	0.999798	0.000201566	
0.0743	0.999798	0.000201751	
0.0744	0.999798	0.000201937	
0.0745	0.999798	0.000202123	
0.0746	0.999798	0.000202308	
0.0747	0.999798	0.000202494	
0.0748	0.999797	0.000202681	
0.0749	0.999797	0.000202867	
0.075	0.999797	0.000203053	
0.0751	0.999797	0.00020324	
0.0752	0.999797	0.000203427	
0.0753	0.999796	0.000203614	
0.0754	0.999796	0.000203801	
0.0755	0.999796	0.000203989	
